բարև hello
լավ good
դու you
ես i
նախադասություն sentence
ֆայլ file
բառ word
օր day
գրադարան library
քանակ count
ամիս month
կանաչ green
նարնջագույն orange
կարմիր red
կապույտ blue
հավատալ believe
սատանա demon
սպիտակ white
բարձրությունը height
լայնությունը width
գրել write
կարդալ read
գիրք book
գրիչ pen
մատիտ pencil
բաժակ cup
